name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
NGTS-1 b,Confirmed,0.812,0.025,0.066,,,,1.33,0.33,0.61,2.647298,0.0002,0.0002,0.0326,0.0047,0.0047,0.016,0.012,0.023,82.8,2.3,2.3,,2017,31-10-2017,,,,,,,,,,2457720.659,0.00067,0.00067,,,,,,,0.9948,0.088,0.13,,,,166,12,12,790,20,20,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-1,82.71666668,-36.63083336,,,,,,224,44,37,0,,,0.617,0.062,0.023,0.573,0.077,0.077,M0.5,,,,3916,63,71,,,
NGTS-20 b,Confirmed,2.98,0.16,0.16,,,,1.07,0.04,0.04,54.18915,0.00015,0.00015,0.313,0.013,0.013,0.432,0.023,0.023,,,,,2022,11-07-2022,66.1,3.2,3.2,,,,,,,2458432.98,0.0025,0.0025,,,,,,,0.846,0.014,0.014,,,,137,5,5,688,14,14,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-5152 b,,NGTS-20,46.29166667,-21.93361113,11.2,,,,,366.2,2.4,2.4,0.15,0.08,0.08,1.47,0.09,0.09,1.78,0.05,0.05,G1IV,4.1,2.7,2.7,5980,80,80,,,TOI-5252
NGTS-21 b,Confirmed,2.36,0.21,0.21,,,,1.33,0.03,0.03,1.5433897,1.60E-06,1.60E-06,0.0236,0.0005,0.0005,0,,,83.85,0.44,0.44,,2022,04-10-2022,,,,,,,,,,2458228.779,0.00067,0.00067,,,,,,,0.63,0.03,0.03,,,,506,37,37,1357,15,15,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-21,311.2583333,-35.4277778,15.6,,,,,641,24,27,-0.26,0.07,0.07,0.72,0.04,0.04,0.86,0.04,0.04,,10,7.3,3.3,4660,41,41,,,
NGTS-23 b,Confirmed,0.613,0.1,0.1,,,,1.267,0.03,0.03,4.076,4.10E-06,4.10E-06,0.0504,0.012,0.012,0,,,89.12,0.64,0.53,,2022,03-11-2022,,,,,,,,,,2458431.771,0.00048,0.00048,,,,,,,0.134,0.094,0.094,,,,78,11,11,1327,17,17,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-23,70.43333335,-40.04472223,14,,,,,991,23,19,-0.26,0.11,0.11,1.01,0.07,0.07,1.24,0.03,0.03,F9V,6.39,1.6,1.93,6057,64,64,,,
NGTS-24 b,Confirmed,0.52,0.12,0.12,,,,1.214,0.062,0.058,3.4678796,7.00E-06,7.00E-06,0.0479,0.003,0.003,0,,,82.61,0.61,0.52,,2022,03-11-2022,,,,,,,,,,2458100.623,0.0011,0.0011,,,,,,,0.821,0.026,0.026,,,,62,0.011,0.011,1499,41,41,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-24,168.5541667,-37.9102778,13.2,,,,,723,28,33,0.27,0.03,0.18,1.26,0.04,0.04,1.64,0.09,0.03,G2IV,4.77,0.9,3.6,5820,8,93,,,
NGTS-25 b,Confirmed,0.639,0.052,0.058,,,,1.023,0.052,0.035,2.823093,3.30E-06,3.30E-06,0.0388,0.002,0.0014,0,,,89.34,0.58,0.42,,2022,03-11-2022,,,,,,,,,,2458204.264,0.0005,0.0005,,,,,,,0.113,0.072,0.097,,,,100,6,6,1101,15,15,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-25,307.4166667,-39.03222224,14.3,,,,,517,22,18,0.13,0.05,0.05,0.91,0.04,0.04,0.86,0.05,0.02,K0V,3.49,3.37,3.49,5321,58,58,,,
NGTS-26 b,Confirmed,0.29,0.06,0.065,,,,1.33,0.05,0.06,4.5199279,9.00E-06,9.00E-06,0.049,0.003,0.004,0,,,86.43,0.07,0.08,,2024,26-04-2024,,,,,,,,,,2457756.831,0.0014,0.0014,,,,,,,,,,,,,36.7,7.5,8,1331,70,85,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-26,217.6829167,-31.73244444,15,,,,,1107,32,32,0.2,0.1,0.1,0.96,0.03,0.05,1.16,0.02,0.05,,11.5,1.7,1.3,5550,100,100,,,
NGTS-27 b,Confirmed,0.593,0.07,0.095,,,,1.396,0.04,0.04,3.3704181,6.00E-06,6.00E-06,0.0446,0.0036,0.0026,0,,,86.2,2.1,2.4,,2024,24-04-2024,,,,,,,,,,1458540.657,0.001,0.001,,,,,,,,,,,,,76.5,8.7,12,1783,100,100,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-27,206.02625,-32.52297222,13.5,,,,,977,17,17,0,0.08,0.08,1.07,0.06,0.06,1.77,0.03,0.03,,7.9,0.8,0.8,5700,80,80,,,
NGTS-29 b,Confirmed,0.39,0.03,0.03,,,,0.857,0.012,0.012,69.33684,1.00E-05,1.00E-05,0.347,0.029,0.029,0.17,0.1,0.02,,,,,2024,14-05-2024,-104,21,6,,,,,,,,,,,,,,,,,,,,,,18.8,14,14,414,7,28,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2447 b,,NGTS-29,70.9975,-39.90666667,10,,,,,149.4,0.3,0.3,0.18,0.08,0.08,1.034,0.032,0.032,1.006,0.009,0.009,,2.1,1,1,5730,80,80,,,TOI-2447
NGTS-2 b,Confirmed,0.67,0.089,0.089,,,,1.536,0.062,0.062,4.5111204,1.80E-06,1.80E-06,0.0584,0.0011,0.0011,0,0,0.14,87.66,0.73,0.73,,2018,28-11-2018,,,,,,,,,,2457501.991,0.0005,0.0005,,,,,,,0.317,0.089,0.089,,,,69.1,8.9,8.9,1638,29,29,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"WASP-179 b, TYC 7282-1298-1 b",,NGTS-2,215.125,-31.20194445,10.96,,,,,360.3,7.8,8.3,-0.06,0.09,0.09,1.64,0.22,0.19,1.702,0.044,0.047,F5V,2.17,0.37,0.37,6478,89,94,,,"WASP-179, TYC 7282-1298-1"
NGTS-30 b,Confirmed,0.96,0.056,0.056,,,,0.93,0.03,0.03,98.29838,0.0001,0.0001,0.408,0.02,0.02,0.29,0.01,0.01,89.5,0.03,0.03,,2024,05-04-2024,3.4,6,5,,,,,,,2459287.6,0.0014,0.0014,,,,,,,0.78,0.03,0.02,,,,46.1,1.8,1.8,390,160,160,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-4862 b,,NGTS-30,173.714875,-24.60548611,12.5,,,,,233.9,1.2,1.2,-0.03,0.08,0.08,0.94,0.06,0.06,0.913,0.03,0.03,,1.1,0.4,0.4,5455,80,80,,,TOI-4862
NGTS-31 b,Confirmed,1.12,0.12,0.12,,,,1.61,0.16,0.16,4.162734,4.00E-06,4.00E-06,0.064,0.008,0.008,0,,,85.6,0.1,0.1,,2021,29-11-2024,,,,,,,,,,2459039.162,0.0004,0.0004,,,,,,,0.63,0.01,0.01,,,,146.63,6,8.26,1410,20,20,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-2721 b,,NGTS-31,80.42129167,-38.65680833,,,,,,,,,,,,,,,,,,,,,,,,,,,TOI-2721
NGTS-32 b,Confirmed,0.57,0.05,0.05,,,,1.42,0.03,0.03,3.31211,2.00E-05,2.00E-05,0.044,0.001,0.001,0,,,86.9,0.1,0.1,,2024,29-11-2024,,,,,,,,,,2459435.763,0.002,0.002,,,,,,,0.29,0.01,0.01,,,,75.17,0.9,15,1750,20,20,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-32,223.8576667,-18.43230556,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-33 b,Confirmed,3.63,0.27,0.27,,,,1.64,0.07,0.07,2.827972,1.00E-06,1.00E-06,0.048,0.002,0.002,0,,,83.94,0.12,0.12,,2024,15-11-2024,,,,,,,,,,2459986.409,0.0003,0.0003,,,,,,,0.74,0.01,0.01,,,,383,25,25,1991,21,21,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-33,107.8333333,-35.85051667,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGTS-3 Ab,Confirmed,2.38,0.26,0.26,,,,1.48,0.37,0.37,1.6753728,3.00E-06,3.00E-06,0.023,0.0046,0.0065,0,,,89.56,0.48,0.31,,2018,01-04-2025,,,,,,,,,,2457620.168,0.00095,0.00095,,,,,,,0.05,0.035,0.055,,,,404,35,35,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-3 A,94.444801,-35.706394,14.6,,,,,1010,150,150,0.12,0.15,0.15,1.017,0.093,0.093,0.93,0.23,0.23,G9V,,,,5570,140,140,,,
NGTS-4 b,Confirmed,0.0648,0.009,0.009,,,,0.2837,0.0232,0.0232,1.3373508,8.00E-06,8.00E-06,0.019,0.005,0.005,0,,,82.5,5.8,5.8,,2018,29-09-2018,,,,,,,,,,2457607.998,0.0034,0.0034,,,,,,,,,,,,,13.7,1.9,1.9,1650,400,400,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-4,89.60000001,-30.81194447,13.14,,,,,282.6,1.8,1.8,-0.28,0.1,0.1,0.75,0.02,0.02,0.84,0.01,0.01,,,,,5143,100,100,,,
NGTS-5 Ab,Confirmed,0.229,0.037,0.037,,,,1.136,0.023,0.023,3.3569866,2.60E-06,2.60E-06,0.0382,0.0013,0.0013,0,,,86.6,0.2,0.2,,2019,31-07-2024,,,,,,,,,,2457740.353,0.00026,0.00026,,,,,,,,,,,,,41,6.4,5.9,952,24,24,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,NGTS-5 A,221.0583333,5.605277794,13.77,,12.11,11.7,11.61,309.5,2.6,2.6,0.12,0.1,0.1,0.661,0.061,0.068,0.739,0.012,0.014,K2V,,,,4987,41,41,,,2MASS J14441396+0536195
NGTS-6 Ab,Confirmed,1.33,0.028,0.024,,,,1.271,0.19,0.197,0.882058,1.00E-06,1.00E-06,0.016623018,1.00E-08,1.00E-08,0,,,80.23,0.38,0.36,,2019,01-08-2024,,,,,,,,,,2457982.379,0.0003,0.0003,,,,,,,0.933,0.034,0.036,,,,322,7,7,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,TOI-448.01,,NGTS-6 A,75.79583334,-30.39944447,15,,,,,311,1.4,1.4,0.11,0.09,0.09,0.7876,0.016,0.016,0.656,0.028,0.028,K6V,9.6,0.2,0.2,4410,70,70,,,TOI-448
NGTS-8 b,Confirmed,0.93,0.04,0.04,,,,1.09,0.03,0.03,2.4997,1.00E-05,1.00E-05,0.035,0.001,0.001,0.01,0.01,0.014,86.9,0.5,0.5,,2019,11-11-2019,,,,,,,,,,2457500.178,0.00072,0.00072,,,,,,,,,,,,,149.95,3.56,3.56,1345,19,19,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,NGTS-8,328.975,-14.06833334,13.68,,,,,434.273,5.639,5.639,0.24,0.09,0.09,0.89,0.05,0.05,0.98,0.02,0.02,K0V,12.48,3.68,3.23,5241,50,50,,,
NGTS-9 b,Confirmed,2.9,0.17,0.17,,,,1.07,0.06,0.06,4.43527,2.00E-05,2.00E-05,0.058,0.003,0.003,0.06,0.032,0.076,84.1,0.4,0.4,,2019,18-12-2023,,,,,,,,,,2457671.811,0.00265,0.00265,,,,,,,,,,,,,293.44,15.08,15.08,1448,36,36,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,TOI-1935 b,,NGTS-9,141.9208333,-19.34722224,12.8,,,,,619.732,15.977,15.977,0.31,0.15,0.15,1.34,0.05,0.05,1.38,0.04,0.04,F8V,0.96,0.6,0.6,6330,130,130,,,
NN Ser (AB)c,Confirmed,6.91,0.54,0.54,,,,,,,5660,165,165,5.38,0.2,0.2,0,,,,,,0.01076,2010,12-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500,,,,,,0.646,,,,,,DAO1+M4V,,,,,,,IR Excess,,
NN Ser (AB)d,Confirmed,2.28,0.38,0.38,,,,,,,2830,130,130,3.39,0.1,0.1,0.2,0.02,0.02,,,,0.00678,2009,12-08-2024,74,4,4,2454515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500,,,,,,0.646,,,,,,DAO1+M4V,,,,,,,IR Excess,,
NN Ser (AB)e,Confirmed,,0.47,0.47,9.43,0.47,0.47,,,,7371,90,90,6.43,0.35,0.35,0.2,0.03,0.03,,,,,2023,12-08-2024,-89.56,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,NN Ser (AB),238.2333333,12.9130556,16.6,,,,,500,,,,,,0.646,,,,,,DAO1+M4V,,,,,,,IR Excess,,
NSVS 1425 (AB) b,Confirmed,,,,12.32,,,,,,2542,22,22,1.9,0.3,0.3,0.18,0.03,0.03,,,,,2012,29-08-2024,7,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,,,NSVS 1425 (AB),305,4.6325,13.2,,,,,,,,,,,0.528,0.07,0.07,,,,sdOB+dM,,,,42000,,,,,
NSVS 1425 (AB) c,Confirmed,8,0.8,0.8,7.97,,,,,,5723,30,30,2.9,0.6,0.6,0.85,0.05,0.05,,,,,2012,29-08-2024,273,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,,,NSVS 1425 (AB),305,4.6325,13.2,,,,,,,,,,,0.528,0.07,0.07,,,,sdOB+dM,,,,42000,,,,,
NSVS 7826147 (AB)b,Confirmed,,,,1.36,,,,,,3820,,,3.957,,,0,,,,,,,2016,16-06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,Timing,,DD CrB (AB)b,,NSVS 7826147 (AB),233.4560172,37.99113761,13.08,13.74,13.652,,13.88,518.549,12.898,12.898,,,,0.442,0.055,0.055,0.172,0.007,0.007,sdB+dM,,,,29200,500,500,,,"DD CrB, FBS 1531+381"
nu2 CMa b,Confirmed,,0.04,0.06,1.895,0.04,0.06,,,,736.9,1,14.8,1.761,0.01,0.024,0.055,0.03,0.03,,,,0.096203,2011,28-05-2024,116.4,71,5,2454093,34,34,,,,,,,,,,,,,,,,,,,35.1,0.9,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,"7 CMa b, HD 47205 b",,nu2 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792,100,100,,,7 CMa
nu2 CMa c,Confirmed,,0.06,0.06,0.906,0.06,0.06,,,,988.9,52,1.5,2.143,0.08,0.003,0.046,0.04,0.05,,,,,2019,28-05-2024,226.6,40,7.7,,,,,,,,,,,,,,,,,,,,,,15.2,1.1,0.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,"7 CMa c, HD 47205 c",,nu2 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792,100,100,,,7 CMa
nu2 Lup b,Confirmed,0.01472,0.0013,0.0013,0.0166,0.0025,0.0025,0.14658,0.00312,0.00312,11.577794,2.50E-05,2.50E-05,0.0963,0.0021,0.0021,0.079,0.053,0.068,88.53,0.11,0.11,0.006304,2011,28-05-2024,172,67,67,2458622.4,1.9,2.1,,,,2458944.371,0.0007,0.0007,2458625.63,2,2,,,,0.505,0.29,0.29,,,,1.4,0.13,0.13,911,18,18,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,HD 136352 b,,nu2 Lup,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,HD 136352
nu2 Lup c,Confirmed,0.0353,0.0019,0.0019,0.0358,0.0031,0.0031,0.25489,0.00517,0.00517,27.592076,4.90E-05,4.90E-05,0.1717,0.0037,0.0037,0.037,0.026,0.039,88.58,0.033,0.033,0.01125,2011,28-05-2024,142,92,86,,,,,,,2458954.409,0.0005,0.0005,2458636.93,0.67,0.39,,,,0.869,0.006,0.006,,,,2.55,0.13,0.13,682,14,14,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Primary Transit,HD 136352 c,,nu2 Lup,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,HD 136352
nu2 Lup d,Confirmed,0.02725,0.0028,0.0028,0.03,0.011,0.011,0.22366,0.0036,0.0036,107.1363,0.0024,0.0024,0.424,0.0092,0.0092,0.075,0.053,0.085,89.77,0.013,0.016,0.02777,2011,28-05-2024,185,87,79,2458510,25,25,,,,2459331.188,,,,,,,,,0.353,0.05,0.043,,,,1.51,0.14,0.14,433,9,9,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,Primary Transit,HD 136352 d,,nu2 Lup,230.45,-48.3175,5.65,,,,,14.8,0.08,0.08,,,,,,,,,,G4V,,,,,,,,,HD 136352
nu Oct b,Confirmed,2.13,0.09,0.09,,,,,,,409.3,7,7,1.25,0.02,0.02,0.118,0.06,0.05,110.9,7,7,0.056604,2009,21-05-2025,136,34,37,,,,,,,,,,,,,,,,,,,,,,40.4,2.6,2.6,,,,,,,,,,Published in a refereed paper,"Other, Radial Velocity",Radial Velocity,,,,nu Oct,325.3708333,-77.39,3.76,,2.01,1.54,1.46,22.1,0.1,0.1,0.18,0.04,0.04,1.61,,,5.81,0.12,0.12,K1III,2.75,0.25,0.25,4860,40,40,,,
NY Vir (AB)b,Confirmed,2.78,,,,,,,,,2987.745,,,3.39,,,,,,,,,,2011,12-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,NY Vir b,,NY Vir (AB),204.7,-2.0302778,13.3,,,,,,,,,,,0.6,,,,,,sdB+M6V,,,,33000,,,,,
NY Vir (AB)c,Confirmed,4.49,,,,,,,,,9861.75,,,7.54,,,,,,,,,,2011,12-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,NY Vir c,,NY Vir (AB),204.7,-2.0302778,13.3,,,,,,,,,,,0.6,,,,,,sdB+M6V,,,,33000,,,,,
OGLE-2003-BLG-235L b,Confirmed,2.34,0.53,0.53,,,,,,,,,,4,0.7,2.1,,,,,,,0.000981,2004,13-03-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,MOA-2003-BLG-53 b,,OGLE-2003-BLG-235L,271.3166667,-28.895,,19.7,,,,5260,710,710,,,,0.56,0.06,0.06,,,,,,,,,,,,,MOA-2003-BLG-53
OGLE-2005-BLG-071L b,Confirmed,3.5,0.3,0.3,,,,,,,3600,0,0,3.6,0.2,0.2,,,,,,,0.001091,2005,29-05-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2005-BLG-071L,267.5375,-34.6730556,,19.5,,,,3300,400,400,,,,0.46,0.04,0.04,,,,,,,,,,,,,OGLE-2005-BUL-071
OGLE-2005-BLG-169L b,Confirmed,0.0444,0.003,0.003,,,,,,,,,,4,0.6,2.2,,,,,,,0.001037,2005,29-05-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2005-BLG-169L,271.5208333,-30.7325,,20.4,,,,4100,400,400,,,,0.69,0.02,0.02,,,,K5,,,,,,,,,
OGLE-2005-BLG-390L b,Confirmed,0.017,,,,,,,,,3500,,,2.1,,,,,,,,,0.000323,2005,29-05-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2005-BLG-390L,268.5791667,-30.3772222,,15.7,,,,6500,,,,,,0.22,,,,,,M,,,,,,,,,OGLE-2005-BUL-390
OGLE-2006-109L b,Confirmed,0.727,0.06,0.06,,,,,,,1790,548,548,2.3,0.5,0.5,,,,64,7,7,0.001523,2008,26-02-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2006-BLG-109L,268.1458333,-30.0877778,,,,17.17,,1510,120,120,,,,0.51,0.04,0.04,,,,,,,,,,,,,"OGLE-06-109L, OGLE-2006-BUL-109"
OGLE-2006-109L c,Confirmed,0.271,0.022,0.022,,,,,,,4931,1750,1750,4.5,1,1,0.15,0.1,0.1,64,8,8,0.00298,2008,26-02-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2006-BLG-109L,268.1458333,-30.0877778,,,,17.17,,1510,120,120,,,,0.51,0.04,0.04,,,,,,,,,,,,,"OGLE-06-109L, OGLE-2006-BUL-109"
OGLE-2006-BLG-284 b,Confirmed,0.453,0.258,0.431,,,,,,,,,,2.2,0.8,0.8,,,,,,,,2020,18-05-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2006-BLG-284,269.6583333,-29.13666667,,,,,,4000,1500,1500,,,,0.45,0.3,0.3,,,,,,,,,,,,,
OGLE-2007-BLG-349L (AB)b,Confirmed,0.25,0.041,0.041,,,,,,,,,,2.59,0.34,0.43,,,,,,,,2016,12-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2007-BLG-349L (AB),271.35,-26.42194446,,,,,,2760,380,380,,,,0.71,0.12,0.12,,,,,,,,,,,,,
OGLE-2007-BLG-368L b,Confirmed,0.0694,,,,,,,,,,,,3.3,8.8,8.8,,,,,,,0.000559,2008,07-12-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2007-BLG-368L,269.1083333,-32.2375,,,,,,5900,1400,1400,,,,0.64,0.26,0.26,,,,,,,,,,,,,
OGLE-2008-BLG-092L Ab,Confirmed,0.18,,,,,,,,,,,,15,,,,,,,,,,2014,28-07-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,OGLE-2008-BLG-092L b,,OGLE-2008-BLG-092L A,266.8725833,-34.72655558,,13.9,,,,7000,,,,,,0.71,,,,,,,,,,,,,,,OGLE-2008-BLG-092L
OGLE-2008-BLG-355L b,Confirmed,4.6,2.2,3.7,,,,,,,,,,1.7,0.3,0.3,,,,,,,,2014,31-08-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2008-BLG-355L,269.7867083,-29.24052776,,,,,,6800,1100,1100,,,,0.37,0.17,0.3,,,,,,,,,,,,,
OGLE-2011-BLG-0173L b,Confirmed,0.19,0.11,0.19,,,,,,,,,,10,,,,,,,,,,2018,29-10-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2011-BLG-0173L,269.3166667,-28.6838889,,,,,,6200,1.7,1.3,,,,0.4,0.2,0.3,,,,,,,,,,,,,
OGLE-2011-BLG-0251L b,Confirmed,0.96,0.14,0.14,,,,,,,,,,3.86,0.64,0.64,,,,,,,,2012,26-02-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2011-BLG-0251L,264.5590833,-27.13613889,,,,,,4090,660,660,,,,0.47,0.07,0.07,,,,,,,,,,,,,
OGLE-2011-BLG-0265L b,Confirmed,0.88,0.18,0.27,,,,,,,,,,1.89,0.25,0.25,,,,,,,,2015,27-07-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,Microlensing,,,,OGLE-2011-BLG-0265L,269.45,-27.39444446,,,,,,4380,510,450,,,,0.211,0.068,0.045,,,,,,,,,,,,,
OGLE-2012-BLG-0026L b,Confirmed,0.11,0.002,0.002,,,,,,,,,,3.82,0.3,0.3,,,,,,,,2012,30-01-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0026L,263.5792,-27.1428,,,,,,4080,300,300,,,,0.82,0.13,0.13,,,,,,,,,,,,,
OGLE-2012-BLG-0026L c,Confirmed,0.68,0.1,0.1,,,,,,,,,,4.63,0.37,0.37,,,,,,,,2012,29-01-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0026L,263.5792,-27.1428,,,,,,4080,300,300,,,,0.82,0.13,0.13,,,,,,,,,,,,,
OGLE-2012-BLG-0406L b,Confirmed,2.73,0.43,0.43,,,,,,,,,,3.45,0.26,0.26,,,,,,,,2013,11-10-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0406L,268.325,-30.4711,,,,,,4970,290,290,,,,0.44,0.07,0.07,,,,,,,,,,,,,
OGLE-2012-BLG-0563L b,Confirmed,1.116,0.087,0.087,,,,,,,,,,1.5,0.16,0.16,,,,,,,,2015,06-12-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2012-BLG-0563L,271.4905,-27.71200002,,,,,,5490,560,560,-0.66,0.07,0.07,0.801,0.033,0.033,,,,dK,,,,,,,,,
